Data;Ora GMT;LatN;LonE;Prof (Km);Md;Ml;Area
16/09/1999;00:38:43;37.617;14.835;9.91;2.2;;2.5 km sud ovest di S.Maria di Licodia
16/09/1999;00:49:45;37.63;14.858;2.61;2.7;;tra Adrano e Biancavilla
16/09/1999;00:17:38;37.73;15.058;5.92;2.2;;2 km a est di M.Centenari
16/09/1999;00:29:28;37.731;15.036;3.04;2.3;;M. Centenari
17/09/1999;00:58:01;37.73;15.066;5.8;2.2;;Circa 3 km ESE di M. Centenari
16/09/1999;00:37:12;37.747;15.004;2.25;2.2;;1 km sud di Torre del Filosofo
17/09/1999;00:13:53;37.665;14.805;14.22;2.2;;Adrano
17/09/1999;00:50:48;37.764;15.023;10;2.1;;Pizzi Deneri
18/09/1999;00:13:42;37.824;15.046;18.82;2.2;;2 Km E Mt. Nero
18/09/1999;00:48:23;37.707;15.042;1.08;2;;1 Km E C. Del Vescovo
18/09/1999;00:32:23;37.711;15.039;1.41;2;;1 Km E C. Del Vescovo
18/09/1999;00:18:45;37.682;14.994;2.32;2.7;;sud M.te Vetore
18/09/1999;00:23:21;37.583;14.972;1.18;2.6;;Belpasso
22/09/1999;00:49:16;36.319;15.624;7.7;2.5;;60 Km SE Capo Passero
23/09/1999;00:16:14;37.649;14.825;14.22;2.3;;Adrano
23/09/1999;00:21:38;37.795;15.169;15.53;2.3;;2 km SO Piedimonte
23/09/1999;00:53:25;37.869;15.118;10.29;2.2;;1 km S Castiglione di Sicilia
23/09/1999;00:16:09;37.811;15.183;17.65;2.3;;Piedimonte
23/09/1999;00:17:50;37.799;15.183;16.54;2.3;;2 km S Piedimonte
23/09/1999;00:24:52;37.797;15.155;13.37;2.1;;Presa
24/09/1999;00:45:23;37.758;15.055;6.67;2.7;;Rif. Citelli
24/09/1999;00:47:29;37.776;15.063;4.08;2.4;;1 km est Rif. Citelli
24/09/1999;00:57:36;37.764;15.07;5.91;2.8;;1 km est Rif. Citelli
24/09/1999;00:51:34;37.745;15.083;9.67;2;;Mt. Fontana
24/09/1999;00:59:34;37.766;15.075;7.04;2.4;;2 km est Rif. Citelli
24/09/1999;00:39:12;37.706;15.085;13.77;2.2;;Val Calanna
24/09/1999;00:20:40;36.888;16.11;0.01;2.2;;90 Km E Noto
24/09/1999;00:06:36;37.684;15.062;11.27;2;;Mt. Arcimis
24/09/1999;00:53:03;37.762;15.067;8.59;2.7;;1 Km SE Rifugio Citelli
24/09/1999;00:20:12;37.676;15.07;10.43;2;;1.5 Km S Mt. Arcimis
24/09/1999;00:46:42;37.775;15.055;6.57;2.3;;1 Km NW Rifugio Citelli
25/09/1999;00:52:11;38.925;16.237;20.86;3.5;;Costa calabra occidentale
26/09/1999;00:28:01;37.773;15.048;3.69;2.7;;1 km Nord-Ovest Rif. Citelli
26/09/1999;00:29:05;37.768;15.051;5.84;2.3;;1 km Nord-Ovest Rif. Citelli
26/09/1999;00:28:17;37.159;14.567;12.9;1.3;;8 Km SE Caltagirone
22/09/1999;00:16:24;37.29;14.767;16;1;;Militello Val di Catania
28/09/1999;00:55:38;37.74;14.957;2.91;2.8;;Mt. Palestra
29/09/1999;00:48:51;37.742;15.046;5.47;2;;1 km est Mt. Centenari
29/09/1999;00:47:18;37.687;14.99;1.26;2.7;;M. Parmentelli
30/09/1999;00:55:39;37.808;15.074;7.13;2.3;;Circa 6.0 km NE P.zi Deneri
30/09/1999;00:04:22;37.753;14.999;4.71;1.9;;Cratere Centrale
30/09/1999;00:15:19;37.755;15.112;6.85;1.8;;1 km NE Mt. Fontane
30/09/1999;00:03:04;37.797;15.091;9.14;2.3;;1.5 km SE Villaggio Mareneve
30/09/1999;00:52:05;37.769;15.114;4.9;3.1;;2 km NW Puntalazzo
30/09/1999;00:56:17;37.796;15.097;8.1;2.1;;Villaggio Mareneve
01/10/1999;00:52:25;37.795;15.094;8.15;1.5;;Mt. Crisimo (Villaggio Mareneve)
01/10/1999;00:27:00;37.76;15.141;6.87;2.5;;1 km N Puntalazzo
01/10/1999;00:41:14;37.753;14.942;0.16;1.6;;1.5 km NO Mt. Palestra
01/10/1999;00:42:56;37.751;14.943;1.95;2.3;;1.5 km No Mt. Palestra
30/09/1999;00:25:36;37.669;15.094;3.11;1.3;;1 Km nord Fleri
01/10/1999;00:08:07;37.755;14.938;0.92;1.5;;2 Km NW Monte Palestra
01/10/1999;00:25:20;37.763;15.152;6.64;1.9;;1 N Puntalazzo
01/10/1999;00:14:18;37.783;15.071;11.67;1.6;;Rif. Citelli
01/10/1999;00:27:09;37.7;15.058;6.84;1.5;;1 km N M. Arcimis
03/10/1999;00:20:27;37.819;15.068;10.65;2;;Caserma Pitarrone
04/10/1999;00:25:16;37.787;15.041;16.31;2.3;;1.5 km W di Due Monti
17/09/1999;00:05:26;37.605;14.863;3.19;2.4;;S. Maria di Licodia
19/09/1999;00:33:30;37.619;14.841;12.17;2.3;;S. Maria di Licodia
04/10/1999;00:13:58;37.685;15.202;1.51;1.5;;Praiola
03/10/1999;00:45:17;37.73;15.204;2.21;1.5;;Circa 1.0 km Sud Riposto
08/10/1999;00:39:14;37.747;15.047;3.78;2;;1.5 Km NE Mt. Centenari
08/10/1999;00:28:05;37.688;14.996;11.71;2;;1 Km E Monte Vetore
10/10/1999;00:33:52;37.722;15.093;0.83;1.3;;1.5 km E Mt. Calanna
12/10/1999;00:19:10;37.723;14.968;4.11;2.5;;Mt. Denza
12/10/1999;00:22:00;37.722;14.971;5.07;3;;Mt. Denza
12/10/1999;00:29:42;37.707;14.958;6.29;2.5;;Mt. Denza
12/10/1999;00:40:40;37.729;14.975;4.87;2.3;;Mt. Denza
12/10/1999;00:56:03;37.729;14.972;3.94;2.7;;Mt. Denza
12/10/1999;00:58:53;37.735;14.979;5.12;2.3;;Mt. Denza
12/10/1999;00:27:33;37.717;14.961;5.06;2.7;;Mt. Denza
12/10/1999;00:59:12;37.728;14.973;2.68;2.9;;Mt. Denza
12/10/1999;00:06:34;37.727;14.976;3.16;2.3;;Mt. Denza
13/10/1999;00:27:22;37.723;14.962;6.48;1.5;;2 Km Nord Mt. Denza
13/10/1999;00:27:49;37.696;14.99;11.29;2.1;;0.5 Km NE Mt. Vetore
15/10/1999;00:43:16;37.715;14.958;8.16;2;;Mt. Denza
15/10/1999;00:44:27;37.725;14.97;3.72;2.2;;1 km NO Mt. Nero
15/10/1999;00:13:44;37.733;14.979;1.03;2.4;;1 km SE Mt. Palestra
15/10/1999;00:14:02;37.724;14.969;2.42;2.9;;1 km SE Mt. Palestra
15/10/1999;00:21:42;37.73;14.975;1.64;1.9;;Mt. Frumento Supino
15/10/1999;00:56:49;37.713;14.96;4.38;1.9;;Mt. Denza
17/10/1999;00:55:58;37.711;15.037;6.95;1.5;;1 km SE dal Rif. Menza
21/10/1999;00:40:27;37.56;14.915;9.1;3;;Patern
31/10/1999;00:50:25;37.682;15.064;3.21;2.1;;1 km S M. Arcimis
24/10/1999;00:15:47;37.682;15.094;8.27;1.7;;1 km W di Sarro
29/10/1999;00:04:26;37.707;15.066;6.02;1.8;;1.5 Km Nord Mt Arcimis
05/11/1999;00:11:19;36.943;14.764;11;1.3;;1 Km NNE di Ragusa
05/11/1999;00:56:38;37.024;16.279;8;2.1;;90 Km E di SR
01/11/1999;00:19:22;37.738;15.919;11;2.1;;20 Km S costa calabra
30/10/1999;00:04:19;37.233;15.391;15.4;1.5;;Augusta
24/10/1999;00:09:15;37.173;15.617;30;1.1;;32 Km NE di SR
21/10/1999;00:58:12;37.471;14.893;14.5;1.2;;10.5 Km S di Patern
21/10/1999;00:15:36;37.467;14.889;14;1.4;;6 Km SW di Motta S.A.
20/10/1999;00:19:16;37.165;16.029;22;3.2;;90 Km E di SR
01/11/1999;00:20:59;38.204;15.04;11;2.3;;Golfo di Patti
09/11/1999;00:33:03;37.552;14.86;11.55;2.1;;3.5 Km SW Patern
10/11/1999;00:10:27;37.785;15.001;15.09;1.5;;3 km N crateri centrali
11/11/1999;00:26:31;37.625;15.502;10;1.8;;30 Km E di Acireale
11/11/1999;00:55:27;37.532;13.796;24.6;2;;Mussomeli
12/11/1999;00:41:21;37.61;15.032;3.41;2.3;;Nicolosi
12/11/1999;00:55:35;37.134;14.617;18.7;1;;8 Km SW Licodia Eubea
12/11/1999;00:38:56;37.606;16.305;3.8;2.1;;100 Km Est Acireale
14/11/1999;00:57:17;37.129;14.561;22.66;1.5;;11 km SW Grammichele
14/11/1999;00:23:20;37.128;14.573;23.5;1.3;;11 Km SW Grammichele
15/11/1999;00:09:39;37.25;14.578;12.5;2.6;;Caltagirone
16/11/1999;00:16:01;37.68;15.123;17.92;1.4;;2 km SE di Zafferana
17/11/1999;00:15:21;37.634;14.871;5.6;1.9;;8 Km NNW Patern
19/11/1999;00:22:43;37.465;14.764;14.4;2.2;;10 Km NE Ramacca
19/11/1999;00:00:38;37.45;14.761;14.7;2.2;;10 Km NE Ramacca
19/11/1999;00:46:50;37.465;14.749;19.6;1.5;;10 Km NE Ramacca
19/11/1999;00:48:00;37.459;14.76;15.4;0.9;;10 Km NE Ramacca
19/11/1999;00:33:15;37.466;14.763;14.6;2.2;;10 Km NE Ramacca
19/11/1999;00:35:38;37.459;14.766;14.8;1;;10 Km NE Ramacca
19/11/1999;00:51:32;37.478;14.751;17.2;1;;10 Km NE Ramacca
19/11/1999;00:09:28;37.471;14.764;14.6;1.6;;10 Km NE Ramacca
19/11/1999;00:26:45;37.47;14.76;15;1.9;;10 Km NE Ramacca
19/11/1999;00:33:18;37.47;14.761;15.1;1.5;;10 Km NE Ramacca
19/11/1999;00:50:41;37.479;14.764;14.5;1.5;;10 Km NE Ramacca
19/11/1999;00:44:05;37.445;14.768;15.4;1.4;;10 Km NE Ramacca
19/11/1999;00:47:25;37.459;14.779;15;1.2;;10 Km NE Ramacca
19/11/1999;00:04:47;37.489;14.747;17.4;1.9;;10 Km NE Ramacca
19/11/1999;00:10:03;38.186;14.421;17.1;2.7;;15 Km circa N Caronia (ME)
19/11/1999;00:38:13;37.443;14.768;14.8;1.3;;10 Km NE Ramacca
20/11/1999;00:17:13;37.725;15.108;6.8;2.3;;Milo
20/11/1999;00:57:42;37.448;14.759;15.7;2;;10 Km NE Ramacca
21/11/1999;00:07:58;37.898;15.396;22.1;2.3;;4,5 Km Est S.Alessio Siculo
22/11/1999;00:05:54;37.697;14.996;6.7;2.1;;1.2 Km NE M.te Vetore
22/11/1999;00:14:00;37.674;14.996;13.47;2.3;;1 Km W M.te Grosso
23/11/1999;00:13:43;37.711;14.924;10.12;2.4;;3.5 Km W M.te Denza
23/11/1999;00:15:46;37.706;14.931;12.64;2.3;;3 Km W M.te Denza
23/11/1999;00:23:54;37.738;14.98;5.32;1.6;;1.5 Km W M.te Frumento Supino
23/11/1999;00:19:18;37.727;14.975;10.07;1.3;;2 Km SW M.te Frumento Supino
23/11/1999;00:39:22;37.741;14.979;6.42;1.5;;1.5 Km NW M.te Frumento Supino
23/11/1999;00:08:51;37.06;15.04;15.3;1.1;;11,4 Km Est Palazzolo
23/11/1999;00:42:12;37.737;14.978;8.1;1.3;;1.5 Km W M.te Frumento Supino
23/11/1999;00:46:38;37.77;15.023;3.81;1.3;;Pizzi Deneri
24/11/1999;00:23:39;37.736;14.968;8.43;1.3;;1.3 Km SE M.te Palestra
24/11/1999;00:06:28;37.03;15.27;28;1.4;;6,5 Km SSW Siracusa
24/11/1999;00:36:31;37.73;15.043;3.14;1.3;;1 Km SE M.ti Centenari
24/11/1999;00:30:28;37.167;15.832;27.5;2;;49 Km ENE Siracusa
27/11/1999;00:19:08;37.682;15.009;11.87;1.8;;1 km N M.Grosso
27/11/1999;00:09:48;37.683;15.72;20.7;2.6;;45 Km E Riposto
30/09/1999;00:51:27;37.766;15.145;12.55;1.7;;Puntalazzo
12/10/1999;00:02:33;37.72;14.961;6.29;1.4;;1 Km NW Mt. Scavo
12/10/1999;00:44:34;37.737;14.973;3.51;1.5;;M. Frumento Supino
30/11/1999;00:50:09;37.857;14.933;11.85;2.5;;2.5 Km Sud di Randazzo
01/12/1999;00:15:43;37.743;15.026;3.49;1.1;;1 km a NW di Mt. Centenari
09/12/1999;00:20:52;37.749;14.969;10.04;1.1;;2.0 km Ovest Crateri Centrali
09/12/1999;00:23:24;37.757;14.993;11.81;1.3;;Crateri Centrali
10/12/1999;00:44:35;37.263;14.767;15.74;2.1;;2 Km SW Militello
09/12/1999;00:27:36;37.7;14.999;3.25;1.7;;Rif. Sapienza
10/12/1999;00:58:01;37.751;15.09;4.73;2;;1 km N M.Fontane
14/12/1999;00:54:40;37.724;15.013;1.75;2.1;;Cisternazza
14/12/1999;00:12:26;37.443;16.133;20.3;2.9;;90 Km Est Catania
10/12/1999;00:11:50;37.188;15.124;16;1.2;;1 Km NNW Melilli
14/12/1999;00:14:54;37.236;14.763;10.2;0.8;;5 Km SSW Militello V.C.
14/12/1999;00:39:31;37.053;16.13;11.7;2.3;;75 Km Est Siracusa
16/12/1999;00:48:20;37.732;14.996;3.5;1.5;;M. Frumento Supino
19/12/1999;00:03:14;37.724;15.046;2.94;1.9;;1.5 Km NO M.te Pomiciaro
20/12/1999;00:25:00;37.159;14.682;23.25;1.5;;1.6 Km Est Licodia Eubea
17/12/1999;00:08:44;37.785;14.972;19.39;2;;2km NE M.Scavo
20/12/1999;00:43:31;37.153;14.696;18.5;1.3;;Licodia Eubea
17/12/1999;00:57:14;37.418;14.713;14.8;0.6;;4 Km NNW Ramacca
17/12/1999;00:48:39;37.672;14.689;13.2;2;;4,8 Km NE Regalbuto
21/12/1999;00:32:47;37.759;14.985;7.49;1.7;;1 km NW dei Crateri Centrali
21/12/1999;00:34:06;37.755;14.988;6.04;1.5;;0.5 km NW dei Crateri Centrali
21/12/1999;00:36:50;37.759;14.976;4.75;1.7;;1.5 km NW dei Crateri Centrali
21/12/1999;00:19:19;37.647;14.932;4.53;1.5;;1.5 km NW Ragalna
22/12/1999;00:31:04;36.913;15.383;26.1;2.1;;20 Km Est Avola
23/12/1999;00:07:14;37.104;14.764;24.12;1.4;;1.5 Km N Monterosso Almo
24/12/1999;00:57:19;37.754;15.034;3.46;1.7;;M. Simone
24/12/1999;00:25:38;37.216;15.211;21.92;0.8;;Porto di Augusta
26/12/1999;00:40:31;37.713;15.092;6.32;1.9;;1.2 KM Est Mt. Fior di Cosimo
26/12/1999;00:43:12;37.712;15.098;5.92;2.3;;1.5 km Est Mt. Fior di Cosimo
26/12/1999;00:50:15;37.713;15.092;6.35;1.3;;1.2 km Est Mt. Fior di Cosimo
26/12/1999;00:47:11;37.686;15.076;2.78;1.2;;1.2 km SE Mt. Arcimis
26/12/1999;00:18:58;37.762;15.101;9.96;1.3;;3.5 km NW S.Alfio
26/12/1999;00:51:20;37.733;15.04;3.98;1.9;;Mt. Centenari
26/12/1999;00:37:38;37.718;15.09;6.87;1.3;;1.1 km NE Mt. Fior di Cosimo
26/12/1999;00:15:14;37.718;15.084;10.6;1.5;;1.0 km Nord Mt. Fior di Cosimo
26/12/1999;00:21:52;37.709;15.052;13.01;1.5;;1.0 km SW Mt. Pomiciaro
26/12/1999;00:33:24;37.716;15.091;10.4;1.8;;Mt. Fior di Cosimo
26/12/1999;00:37:36;37.701;15.093;5.56;2.5;;1.4 km Se Mt. Fior di Cosimo
26/12/1999;00:19:50;37.705;15.088;5.46;3.1;;2 km ad Ovest di Zafferana
26/12/1999;00:00:44;37.705;15.081;5.95;1.8;;0.5 km Sud Mt. Fior di Cosimo
26/12/1999;00:04:30;37.705;15.089;5.29;1.5;;1.0 km SE Mt Fior di Cosimo
27/12/1999;00:41:07;37.706;15.094;6.23;1.4;;2 km ad Ovest di Zafferana
25/12/1999;00:06:47;37.08;15.137;18.63;1.3;;1,6 Km Ovest Floridia
25/12/1999;00:54:02;37.643;15.281;12;0.9;;11 Km NE Acireale
25/12/1999;00:06:37;37.743;14.994;7.11;1.1;;1 km Sud Crateri centrali
25/12/1999;00:20:59;37.679;15.123;17.85;1.8;;1.7 km SW Santa Venerina
26/12/1999;00:51:49;37.722;15.038;12.86;1.1;;1.5 km Sud Mt. Centenari
23/12/1999;00:51:34;37.7;15;9.4;1.6;;Rifugio Sapienza
29/12/1999;00:47:42;37.672;15.081;9.94;1.5;;1.0 km Nord Mt. Ilice
29/12/1999;00:23:08;38.151;15.034;14.78;2.3;;Golfo di Patti
30/12/1999;00:41:54;37.716;15.015;0.92;1.5;;0.7 km SE della Montagnola
01/01/2000;00:39:41;37.643;15.067;1.48;2.1;;2 km N Pedara
01/01/2000;00:44:19;37.643;15.062;0.57;2.6;;2 km N Pedara
01/01/2000;00:02:00;37.496;14.75;15.5;0.8;;10 km NNE Ramacca
01/01/2000;00:02:45;37.47;14.75;18.5;1.3;;10 km NNE Ramacca
01/01/2000;00:04:27;37.474;14.751;17.7;1.4;;10 km NNE Ramacca
01/01/2000;00:07:13;37.498;14.754;15.3;0.9;;10 km NNE Ramacca
01/01/2000;00:08:54;37.471;14.752;17.8;1.1;;10 km NNE Ramacca
01/01/2000;00:11:24;37.474;14.75;17.6;1.5;;10 km NNE Ramacca
01/01/2000;00:15:02;37.464;14.754;15.8;1.3;;10 km NNE Ramacca
01/01/2000;00:19:17;37.497;14.753;15.4;1;;10 km NNE Ramacca
01/01/2000;00:22:39;37.467;14.753;15.8;2;;10 km NNE Ramacca
01/01/2000;00:25:07;37.472;14.751;18.6;1.4;;10 km NNE Ramacca
01/01/2000;00:06:33;37.472;14.75;18.6;1.6;;10 km NNE Ramacca
01/01/2000;00:41:18;37.47;14.751;18.5;1.3;;10 km NNE Ramacca
01/01/2000;00:42:24;37.463;14.755;15.7;1.2;;10 km NNE Ramacca
01/01/2000;00:58:58;37.482;14.755;15.4;0.9;;10 km NNE Ramacca
01/01/2000;00:22:06;37.498;14.755;15.4;0.9;;10 km NNE Ramacca
01/01/2000;00:11:03;37.495;14.755;15.3;0.8;;10 km NNE Ramacca
01/01/2000;00:13:01;37.489;14.736;23.3;1.9;;10 km NNE Ramacca
01/01/2000;00:57:08;37.488;14.76;15.1;0.7;;10 km NNE Ramacca
01/01/2000;00:03:03;37.495;14.75;15.7;1.6;;10 km NNE Ramacca
01/01/2000;00:27:54;37.482;14.753;15.8;1.1;;10 km NNE Ramacca
01/01/2000;00:33:46;37.495;14.756;15.5;0.8;;10 km NNE Ramacca
01/01/2000;00:35:54;37.496;14.756;15.3;0.8;;10 km NNE Ramacca
01/01/2000;00:06:58;37.253;14.757;12.3;1.7;;4 Km SW Militello V.C.
01/01/2000;00:15:18;37.469;14.75;17.6;0.8;;10 Km NNE Ramacca
01/01/2000;00:00:15;37.491;14.763;14.3;1.2;;10 Km NNE Ramacca
01/01/2000;00:02:10;37.486;14.758;15;1.4;;10 Km NNE Ramacca
02/01/2000;00:15:12;37.645;15.062;1.37;2.7;;2 Km N Pedara
02/01/2000;00:20:28;37.498;14.754;15.2;0.8;;10 Km NNE Ramacca
01/01/2000;00:21:26;37.794;14.989;6.85;1.3;;Grotta delle Vanelle
02/01/2000;00:23:28;37.714;14.993;3.95;1;;1.3 km SW Montagnola
02/01/2000;00:22:46;37.713;14.995;4.04;1.1;;1.0 km Ovest Montagnola
02/01/2000;00:36:30;37.475;14.749;18.5;1.4;;10 Km NNE Ramacca
02/01/2000;00:53:44;37.473;14.748;18.7;1.7;;10 Km NNE Ramacca
02/01/2000;00:04:54;37.47;14.75;18;1.5;;10 Km NNE Ramacca
03/01/2000;00:16:27;37.72;14.997;2.99;1.6;;Montagnola
02/01/2000;00:38:09;37.459;14.744;16.3;1.3;;10 Km NNE Ramacca
02/01/2000;00:24:40;37.463;14.741;22.9;2;;10 Km NNE Ramacca
02/01/2000;00:28:38;37.479;14.756;15.7;1.2;;10 Km NNE Ramacca
02/01/2000;00:07:50;37.467;14.745;21.2;1.6;;10 Km NNE Ramacca
03/01/2000;00:28:18;37.505;14.746;18;0.7;;10 Km NNE Ramacca
03/01/2000;00:16:00;37.408;15.196;11.8;1.1;;14 Km N Brucoli
04/01/2000;00:42:55;37.5;14.747;15.8;1.3;;10 Km NNE Ramacca
24/12/1999;00:47:27;37.72;15.872;19.3;2;;60 Km Est Giarre
05/01/2000;00:44:36;37.708;14.997;4.21;1.3;;1.3 Km. SW Montagnola
02/01/2000;00:27:02;37.555;14.751;13.8;0.8;;10 Km NNE Ramacca
06/01/2000;00:19:40;37.745;15.024;3.83;1.7;;1.5 km NW Mt. Centenari
06/01/2000;00:10:43;37.721;15.004;3.77;2;;1.0 km NW Montagnola
05/01/2000;00:57:47;37.122;15.297;18.9;1;;4 Km Nord Siracusa
06/01/2000;00:34:35;37.092;15.107;17.3;1.3;;4 km W Floridia
07/01/2000;00:16:15;37.782;15.044;6.48;1.3;;1.0 km Ovest Mt. Baracca
08/01/2000;00:27:44;37.894;14.997;2.68;2;;4.5 km NE Randazzo
09/01/2000;00:37:51;37.729;15.085;4.97;1.1;;Monte Calanna
08/01/2000;00:14:30;36.791;15.175;9;1.2;;11 Km NE Pachino
10/01/2000;00:56:35;36.956;14.972;23.2;2.5;;13 Km NW Noto
10/01/2000;00:19:28;37.719;15.009;2.43;1.5;;1.0 km Nord Montagnola
10/01/2000;00:26:49;37.75;14.995;4.29;1.4;;crateri centrali
11/01/2000;00:34:42;37.768;15.125;6.75;2.3;;Puntalazzo
11/01/2000;00:02:03;37.749;15.126;7.64;2.4;;
11/01/2000;00:08:17;37.76;15.12;6.84;2;;2 km NW Sant'Alfio
11/01/2000;00:28:56;37.764;15.113;7.06;3.1;;2 km N Fornazzo
11/01/2000;00:20:53;37.761;15.112;7;3.2;;3 km N Fornazzo
11/01/2000;00:52:00;37.753;15.11;3.74;2.3;;3 km NW Fornazzo
11/01/2000;00:44:31;37.772;15.103;5.13;2.2;;4 km N Fornazzo
11/01/2000;00:05:20;37.764;15.125;6.59;2.8;;4 km N Fornazzo
11/01/2000;00:09:04;37.764;15.129;6.3;1.5;;3.5 km N Fornazzo
11/01/2000;00:41:55;37.771;15.119;6.39;2.1;;2 km N Fornazzo
11/01/2000;00:52:06;37.77;15.118;6.4;1.9;;4 km N Fornazzo
11/01/2000;00:14:10;37.753;15.144;7.01;2.3;;2.2 km N S. Alfio
11/01/2000;00:36:07;37.768;15.135;7;1.9;;2.9 km N S. Alfio
11/01/2000;00:41:10;37.761;15.139;4.82;2.4;;2 km N S. Alfio
11/01/2000;00:42:49;37.77;15.124;8.33;1.9;;
11/01/2000;00:46:06;37.763;15.142;5.25;2.2;;
12/01/2000;00:31:15;37.756;14.973;7.13;1.5;;1.5 km NE Mt.Palestra
12/01/2000;00:10:36;37.45;16.168;9.6;2.3;;100 Km E Catania
12/01/2000;00:13:26;37.729;15.002;3.12;1.4;;1.0 km Nord della Montagnola
12/01/2000;00:25:15;37.759;15.102;4.55;1.5;;4 Km Nord di Fornazzo
12/01/2000;00:31:50;37.725;15.043;1.83;1.3;;!.0 km SE Mt. Centenari
09/01/2000;00:42:29;37.261;15.965;14;1.8;;63 Km NE Siracusa
10/01/2000;00:35:30;37.814;14.707;8.6;2;;9,5 Km NE Troina
12/01/2000;00:31:49;37.772;14.985;6.1;1;;0.8 km NW Punta Lucia
10/01/2000;00:42:55;37.313;15.105;7;0.6;;8 Km NE Carlentini
16/01/2000;00:22:19;37.733;15.005;2.17;1.3;;Torre del Filosofo
16/01/2000;00:05:55;37.63;15.084;1.29;2.6;;1.5 km a Nord di Trecastagni
16/01/2000;00:47:24;37.12;14.741;14.7;1;;3,7 Km NW Monterosso Almo
17/01/2000;00:19:22;37.728;15.01;3.22;1.2;;La Montagnola
02/09/1999;00:55:17;37.12;15.187;12.5;1.5;;4 Km NE Floridia
23/09/1999;00:03:28;37.249;15.022;12.1;0.6;;5 Km S Lentini
09/10/1999;00:52:03;37.853;15.008;5.6;1.3;;Vers. N Etna
15/11/1999;00:02:58;37.502;15.662;25.6;1.9;;45 Km E Catania
22/11/1999;00:49:16;37.969;14.938;2.3;2.5;;Floresta
16/11/1999;00:06:06;37.132;14.587;12.8;1.3;;10 Km SSW Grammichele
11/01/2000;00:02:17;37.775;15.112;6.02;2;;4 km N Fornazzo
16/01/2000;00:42:33;37.421;14.32;30.5;1.6;;6 Km NW Piazza Armerina
14/01/2000;00:58:46;37.136;14.166;11.7;1.9;;6 Km SSW Butera
19/01/2000;00:56:18;37.732;15.054;5.12;1.3;;S.ra delle Concazze
19/01/2000;00:10:12;37.718;15.018;1.77;1.2;;1.0 km Nord della Montagnola (Cisternazza)
01/01/2000;00:26:08;37.481;15.886;21.7;2.2;;67 Km Est Catania
20/01/2000;00:35:28;37.718;15.01;3.31;1.3;;1.0 km Nord Montagnola (Cisternazza)
20/01/2000;00:36:54;37.715;15.02;4.28;1.8;;1.0 km Nord Montagnola (Cisternazza)
